"","x","y","z"
"1",-11.5,38,0
"2",-10.5,38,0
"3",-9.5,38,0
"4",-13.5,37,0
"5",-12.5,37,0
"6",-11.5,37,0
"7",-10.5,37,0
"8",-9.5,37,0
"9",-8.5,37,0
"10",-7.5,37,0
"11",-13.5,36,0
"12",-12.5,36,0
"13",-11.5,36,0
"14",-10.5,36,0
"15",-9.5,36,0
"16",-8.5,36,0
"17",-7.5,36,0
"18",-6.5,36,0
"19",-5.5,36,0
"20",-3.5,36,0
"21",-2.5,36,0
"22",-13.5,35,0
"23",-12.5,35,0
"24",-11.5,35,0
"25",-10.5,35,0
"26",-9.5,35,0
"27",-8.5,35,0
"28",-7.5,35,0
"29",-6.5,35,0
"30",-5.5,35,0
"31",-4.5,35,0
"32",-3.5,35,0
"33",-2.5,35,0
"34",-1.5,35,0
"35",-13.5,34,0
"36",-12.5,34,0
"37",-11.5,34,0
"38",-10.5,34,0
"39",-9.5,34,0
"40",-8.5,34,0
"41",-7.5,34,0
"42",-6.5,34,0
"43",-5.5,34,0
"44",-4.5,34,0
"45",-3.5,34,0
"46",-2.5,34,0
"47",-1.5,34,0
"48",-0.5,34,0
"49",-14.5,33,0
"50",-13.5,33,0
"51",-12.5,33,0
"52",-11.5,33,0
"53",-10.5,33,0
"54",-9.5,33,0
"55",-8.5,33,0
"56",-7.5,33,0
"57",-6.5,33,0
"58",-5.5,33,0
"59",-4.5,33,0
"60",-3.5,33,0
"61",-2.5,33,0
"62",-1.5,33,0
"63",-0.5,33,0
"64",0.5,33,0
"65",-15.5,32,0
"66",-14.5,32,0
"67",-13.5,32,0
"68",-12.5,32,0
"69",-11.5,32,0
"70",-10.5,32,0
"71",-9.5,32,0
"72",-8.5,32,0
"73",-7.5,32,0
"74",-6.5,32,0
"75",-5.5,32,0
"76",-4.5,32,0
"77",-3.5,32,0
"78",-2.5,32,0
"79",-1.5,32,0
"80",-0.5,32,0
"81",0.5,32,0
"82",1.5,32,0
"83",2.5,32,0
"84",-15.5,31,0
"85",-14.5,31,0
"86",-13.5,31,0
"87",-12.5,31,0
"88",-11.5,31,0
"89",-10.5,31,0
"90",-9.5,31,0
"91",-8.5,31,0
"92",-7.5,31,0
"93",-6.5,31,0
"94",-5.5,31,0
"95",-4.5,31,0
"96",-3.5,31,0
"97",-2.5,31,0
"98",-1.5,31,0
"99",-0.5,31,0
"100",0.5,31,0
"101",1.5,31,0
"102",2.5,31,0
"103",3.5,31,0
"104",4.5,31,0
"105",-14.5,30,0
"106",-13.5,30,0
"107",-12.5,30,0
"108",-11.5,30,0
"109",-10.5,30,0
"110",-9.5,30,0
"111",-8.5,30,0
"112",-7.5,30,0
"113",-6.5,30,0
"114",-5.5,30,0
"115",-4.5,30,0
"116",-3.5,30,0
"117",-2.5,30,0
"118",-1.5,30,0
"119",-0.5,30,0
"120",0.5,30,0
"121",1.5,30,0
"122",2.5,30,0
"123",3.5,30,0
"124",4.5,30,0
"125",5.5,30,0
"126",-15.5,29,0
"127",-14.5,29,0
"128",-13.5,29,0
"129",-12.5,29,0
"130",-11.5,29,0
"131",-10.5,29,0
"132",-9.5,29,0
"133",-8.5,29,0
"134",-7.5,29,0
"135",-6.5,29,0
"136",-5.5,29,0
"137",-4.5,29,0
"138",-3.5,29,0
"139",-2.5,29,0
"140",-1.5,29,0
"141",-0.5,29,0
"142",0.5,29,0
"143",1.5,29,0
"144",2.5,29,0
"145",3.5,29,0
"146",4.5,29,0
"147",5.5,29,0
"148",6.5,29,0
"149",-15.5,28,0
"150",-14.5,28,0
"151",-13.5,28,0
"152",-12.5,28,0
"153",-11.5,28,0
"154",-10.5,28,0
"155",-9.5,28,0
"156",-8.5,28,0
"157",-7.5,28,0
"158",-6.5,28,0
"159",-5.5,28,0
"160",-4.5,28,0
"161",-3.5,28,0
"162",-2.5,28,0
"163",-1.5,28,0
"164",-0.5,28,0
"165",0.5,28,0
"166",1.5,28,0
"167",2.5,28,0
"168",3.5,28,0
"169",4.5,28,0
"170",5.5,28,0
"171",6.5,28,0
